Seconds_from_start,Seconds_from_subset,,Date,AccX,AccY,AccZ,Depth,ProcessedAccY,Stroke_Rate,Glide_Controller,Stroke_Detected,Stroke_Cycle_Start
47595.438,2.938,,4/10/2018,4.899393,-1.598699,-8.448539,-0.4681468,-0.09714735,26.58434,0,,0
47595.5,3,,4/10/2018,5.149405,-1.54839,-8.598077,-0.4681468,-0.09496878,26.58434,0,,0
47595.563,3.063,,4/10/2018,5.298959,-1.448491,-8.498131,-0.4681468,-0.07829999,26.58434,0,,0
47595.625,3.125,,4/10/2018,5.199256,-1.248693,-8.298238,-0.4681468,-0.06107621,26.58434,0,,0
47595.688,3.188,,4/10/2018,5.34881,-1.148794,-7.998398,-0.4681468,-0.07528971,26.58434,0,,0
47595.75,3.25,,4/10/2018,5.199256,-1.448491,-7.998398,-0.4681468,-0.1309735,26.58434,0,,0
47595.813,3.313,,4/10/2018,5.54897,-1.648289,-7.948043,-0.4681468,-0.2122165,26.58434,0,,0
47595.875,3.375,,4/10/2018,5.499119,-1.798497,-7.798505,-0.4681468,-0.2971142,26.58434,0,,0
47595.938,3.438,,4/10/2018,5.399416,-1.598699,-7.848096,-0.4681468,-0.3797989,26.58434,0,,0
47596,3.5,,4/10/2018,5.399416,-1.998295,-7.948043,-0.4681468,-0.4423829,26.58434,0,,0
47596.063,3.563,,4/10/2018,5.499119,-1.998295,-7.798505,-0.4681468,-0.4670585,26.58434,0,,0
47596.125,3.625,,4/10/2018,5.649428,-1.748189,-7.648203,-0.4681468,-0.4559637,26.58434,0,,0
47596.188,3.688,,4/10/2018,5.499119,-1.898396,-7.74815,-0.4681468,-0.425288,26.58434,0,,0
47596.25,3.75,,4/10/2018,5.74913,-1.848806,-7.648203,-0.4681468,-0.3872195,26.58434,0,,0
47596.313,3.813,,4/10/2018,5.499119,-2.048604,-7.548257,-0.4681468,-0.3440524,26.58434,0,,0
47596.375,3.875,,4/10/2018,5.34881,-1.698598,-7.598611,-0.4681468,-0.3000499,26.58434,0,,0
47596.438,3.938,,4/10/2018,5.34881,-1.648289,-7.598611,-0.4681468,-0.2635386,26.58434,0,,0
47596.5,4,,4/10/2018,5.098798,-1.898396,-7.648203,-0.4681468,-0.2308252,26.58434,0,,0
47596.563,4.063,,4/10/2018,5.149405,-2.098195,-7.598611,-0.4681468,-0.1862305,26.58434,0,,0
47596.625,4.125,,4/10/2018,5.199256,-1.698598,-7.498665,-0.4681468,-0.1320381,26.58434,0,,0
