Seconds,AccX,AccY,AccZ,Depth,ProcessedAccY,Stroke Rate,Glide Controller,Stroke Detected,Comment
3.813,6.649474,-2.098195,-5.898756,2.484779,0.7019876,NaN,0.3063315,0,
3.875,6.598867,-2.298711,-5.898756,2.484779,0.6919546,NaN,0.3063315,0,
3.938,6.598867,-2.298711,-5.898756,2.484779,0.6879299,NaN,0.3063315,0,
4,6.499165,-2.298711,-5.898756,2.484779,0.6859176,NaN,0.3063315,0,
4.063,6.399462,-2.298711,-5.948348,2.484779,0.6859176,NaN,0.3063315,0,
4.125,6.348856,-2.148503,-5.998703,2.484779,0.6859176,NaN,0.3063315,0,
4.188,6.399462,-2.198812,-6.048295,2.484779,0.6859176,NaN,0.3063315,0,
4.25,6.299004,-2.198812,-6.148241,2.484779,0.6859176,NaN,0.3063315,0,
4.313,6.249153,-2.39861,-6.198596,2.484779,0.6859176,NaN,0.3063315,0,
4.375,6.249153,-2.298711,-6.248188,2.484779,0.6859176,NaN,0.3063315,0,
4.438,6.199302,-2.498509,-6.148241,2.484779,0.6859176,NaN,0.3063315,0,
4.5,6.299004,-2.298711,-6.298543,1.490867,0.683934,NaN,0.3063315,0,
4.563,6.348856,-2.448201,-6.448081,1.490867,0.6799668,NaN,0.3063315,0,
4.625,6.149451,-2.39861,-6.398489,1.490867,0.6740159,NaN,0.3063315,0,
4.688,6.249153,-1.998295,-6.448081,1.490867,0.6660814,NaN,0.3063315,0,
4.75,6.098844,-2.198812,-6.598383,1.490867,0.658147,NaN,0.3063315,0,
4.813,6.199302,-2.248402,-6.598383,1.490867,0.6541797,NaN,0.3063315,0,
4.875,6.299004,-2.248402,-6.548028,1.490867,0.6541797,NaN,0.3063315,0,
4.938,6.299004,-2.348302,-6.648737,1.490867,0.658147,NaN,0.3063315,0,
5,6.399462,-2.548818,-6.748684,1.490867,0.6660814,NaN,0.3063315,0,
5.063,6.299004,-2.448201,-6.698329,1.490867,0.6740159,NaN,0.3063315,0,
5.125,6.399462,-2.348302,-6.748684,1.490867,0.6799668,NaN,0.3063315,0,
5.188,6.449313,-2.39861,-6.748684,1.490867,0.683934,NaN,0.3063315,0,
5.25,6.598867,-2.298711,-6.748684,1.490867,0.6859176,NaN,0.3063315,0,
5.313,6.449313,-2.148503,-6.798276,1.490867,0.6859176,NaN,0.3063315,0,
