Seconds,AccX,AccY,AccZ,Depth,ProcessedAccY,Stroke Rate,Glide Controller,Pitch,Roll,Stroke Detected,
0.625,8.249245,-0.6485802,-4.398032,4.487007,2.423279,NaN,0.3063315,-91.18358,17.56983,0,
0.688,8.449405,-0.5486811,-4.548333,4.487007,2.415344,NaN,0.3063315,-91.18358,14.4064,0,
0.75,8.398798,-0.4983722,-4.398032,4.487007,2.411377,NaN,0.3063315,-91.18358,13.54029,0,
0.813,8.199393,-0.4983722,-4.498741,4.487007,2.405426,NaN,0.3063315,-91.18358,13.23966,0,
0.875,8.299096,-0.5486811,-4.548333,4.487007,2.401459,NaN,0.3063315,-91.18358,14.4064,0,
0.938,8.249245,-0.7987881,-4.64828,4.487007,2.399475,NaN,0.3063315,-91.18358,20.42205,0,
1,8.249245,-0.5982713,-4.548333,4.487007,2.399475,NaN,0.3063315,-91.18358,15.69427,0,
1.063,8.098936,-0.5486811,-4.548333,4.487007,2.395508,NaN,0.3063315,-91.18358,14.4064,0,
1.125,8.098936,-0.6485802,-4.64828,4.487007,2.391512,NaN,0.3063315,-91.18358,16.63634,0,
1.188,8.098936,-0.6485802,-4.64828,4.487007,2.385504,NaN,0.3063315,-91.18358,16.63634,0,
1.25,8.148787,-0.5982713,-4.64828,4.487007,2.377483,NaN,0.3063315,-91.18358,15.36053,0,
1.313,8.098936,-0.5486811,-4.64828,4.487007,2.36745,NaN,0.3063315,-91.18358,14.09951,0,
1.375,7.999233,-0.5982713,-4.748226,4.487007,2.353392,NaN,0.3063315,-91.18358,15.04061,0,
1.438,8.049084,-0.5486811,-4.748226,4.487007,2.335338,NaN,0.3063315,-91.18358,13.80537,0,
1.5,7.898775,-0.7987881,-4.948119,3.478691,2.313289,NaN,0.3063315,-91.18358,19.20622,0,
1.563,7.799073,-0.7484792,-4.898528,3.478691,2.287243,NaN,0.3063315,-90.72328,18.19489,0,
1.625,7.949382,-0.6485802,-4.898528,3.478691,2.257202,NaN,0.3063315,-90.25797,15.79649,0,
1.688,7.848924,-0.8483783,-4.998474,3.478691,2.231156,NaN,0.3063315,-89.78747,20.17503,0,
1.75,7.799073,-0.7987881,-5.048066,3.478691,2.209086,NaN,0.3063315,-89.31662,18.83223,0,
1.813,7.749222,-0.6485802,-5.048066,3.478691,2.190993,NaN,0.3063315,-88.84247,15.33371,0,
1.875,7.799073,-0.8483783,-5.248722,3.478691,2.176876,NaN,0.3063315,-88.36707,19.22991,0,
1.938,7.648764,-0.7987881,-5.298314,3.478691,2.164722,NaN,0.3063315,-87.89095,17.95629,0,
2,7.949382,-0.8483783,-5.248722,3.478691,2.150536,NaN,0.3063315,-87.41689,19.22991,0,
2.063,7.749222,-0.7987881,-5.248722,3.478691,2.124382,NaN,0.3063315,-86.93769,18.1234,0,
2.125,7.699371,-0.8986872,-5.248722,3.478691,2.08626,NaN,0.3063315,-86.45726,20.3491,0,
2.188,7.848924,-0.7987881,-5.39826,3.478691,2.03617,NaN,0.3063315,-85.97478,17.62865,0,
2.25,7.699371,-1.198384,-5.648508,3.478691,1.972129,NaN,0.3063315,-85.48901,25.08714,0,
2.313,7.648764,-1.198384,-5.6981,3.478691,1.894136,NaN,0.3063315,-85.00825,24.87503,0,
2.375,7.749222,-0.8986872,-5.548562,3.478691,1.822151,NaN,0.3063315,-84.53493,19.26878,0,
2.438,7.699371,-1.348592,-5.6981,3.478691,1.756174,NaN,0.3063315,-84.05959,27.88773,0,
2.5,7.848924,-1.198384,-5.598154,2.988937,1.696206,NaN,0.3063315,-83.58767,25.30619,0,
2.563,7.648764,-1.398182,-5.648508,2.988937,1.64423,NaN,0.3063315,-83.1096,29.11845,0,
2.625,7.648764,-1.348592,-5.648508,2.988937,1.59625,NaN,0.3063315,-82.6324,28.12375,0,
2.688,7.749222,-1.398182,-5.748455,2.988937,1.540249,NaN,0.3063315,-82.15459,28.63133,0,
2.75,7.598913,-1.398182,-5.748455,2.988937,1.474215,NaN,0.3063315,-81.67325,28.63133,0,
2.813,7.549062,-1.698598,-5.748455,2.988937,1.394152,NaN,0.3063315,-81.18928,34.47744,0,
2.875,7.598913,-1.598699,-5.748455,2.988937,1.310093,NaN,0.3063315,-80.70576,32.55056,0,
2.938,7.549062,-1.848806,-5.848402,2.988937,1.228046,NaN,0.3063315,-80.22049,36.74171,0,
3,7.348901,-1.948705,-5.798047,2.988937,1.152008,NaN,0.3063315,-79.73649,38.90828,0,
3.063,7.399508,-1.798497,-5.798047,2.988937,1.086002,NaN,0.3063315,-79.25619,36.0935,0,
3.125,7.348901,-1.998295,-5.798047,2.988937,1.038022,NaN,0.3063315,-78.77167,39.82806,0,
3.188,7.249199,-2.048604,-5.798047,2.988937,0.9980624,NaN,0.3063315,-78.28727,40.75624,0,
3.25,7.199348,-1.948705,-5.6981,2.988937,0.9660948,NaN,0.3063315,-77.80287,39.54277,0,
3.313,7.149496,-2.048604,-5.748455,2.988937,0.9401354,NaN,0.3063315,-77.31496,41.08112,0,
3.375,7.09889,-2.098195,-5.748455,2.988937,0.914176,NaN,0.3063315,-76.82713,41.99714,0,
3.438,6.949336,-2.048604,-5.748455,2.988937,0.8842207,NaN,0.3063315,-76.3393,41.08112,0,
3.5,6.999187,-2.248402,-5.798047,2.484779,0.8522242,NaN,0.3063315,-75.85115,44.39197,0,
3.563,6.949336,-2.248402,-5.6981,2.484779,0.816203,NaN,0.3063315,-75.36219,45.09987,0,
3.625,6.899485,-2.148503,-5.748455,2.484779,0.7781695,NaN,0.3063315,-74.8754,42.92126,0,
3.688,6.848878,-2.298711,-5.848402,2.484779,0.7461156,NaN,0.3063315,-74.39085,44.94003,0,
3.75,6.699325,-2.348302,-5.6981,2.484779,0.7200413,NaN,0.3063315,-73.91431,46.90931,0,
3.813,6.649474,-2.098195,-5.898756,2.484779,0.7019876,NaN,0.3063315,-73.44418,41.00937,0,
3.875,6.598867,-2.298711,-5.898756,2.484779,0.6919546,NaN,0.3063315,-72.98182,44.59088,0,
3.938,6.598867,-2.298711,-5.898756,2.484779,0.6879299,NaN,0.3063315,-72.52976,44.59088,0,
4,6.499165,-2.298711,-5.898756,2.484779,0.6859176,NaN,0.3063315,-72.09103,44.59088,0,
4.063,6.399462,-2.298711,-5.948348,2.484779,0.6859176,NaN,0.3063315,-71.66428,44.25204,0,
4.125,6.348856,-2.148503,-5.998703,2.484779,0.6859176,NaN,0.3063315,-71.25614,41.27123,0,
4.188,6.399462,-2.198812,-6.048295,2.484779,0.6859176,NaN,0.3063315,-70.86659,41.84257,0,
4.25,6.299004,-2.198812,-6.148241,2.484779,0.6859176,NaN,0.3063315,-70.49127,41.215,0,
4.313,6.249153,-2.39861,-6.198596,2.484779,0.6859176,NaN,0.3063315,-70.13088,44.30579,0,
4.375,6.249153,-2.298711,-6.248188,2.484779,0.6859176,NaN,0.3063315,-69.78429,42.30383,0,
4.438,6.199302,-2.498509,-6.148241,2.484779,0.6859176,NaN,0.3063315,-69.44768,46.31909,0,
4.5,6.299004,-2.298711,-6.298543,1.490867,0.683934,NaN,0.3063315,-69.11927,41.99266,0,
4.563,6.348856,-2.448201,-6.448081,1.490867,0.6799668,NaN,0.3063315,-68.79177,43.54398,0,
4.625,6.149451,-2.39861,-6.398489,1.490867,0.6740159,NaN,0.3063315,-68.46307,43.03894,0,
