ECG,AcX,AcY,AcZ,Depth
1212,5.06,0.92,5.98,117.6
1153,5.06,0.92,5.98,117.6
1208,5.06,0.92,5.98,117.6
1230,5.06,0.92,5.98,117.6
1243,5.06,0.76,5.98,117.6
1233,5.06,0.76,6.14,117.6
1269,5.06,0.76,6.14,117.6
1265,5.06,0.76,6.14,117.8
1226,5.22,0.76,6.14,117.8
1299,5.22,0.46,6.14,117.8
1295,5.22,0.46,5.82,117.8
1305,5.22,0.46,5.82,117.8
1240,5.22,0.46,5.82,117.6
1217,5.06,0.46,5.82,117.6
1193,5.06,0.92,5.82,117.6
1241,5.06,0.92,5.82,117.6
1266,5.06,0.92,5.82,117.6
1261,5.06,0.92,5.82,117.8
1272,5.22,0.92,5.82,117.8
1250,5.22,1.08,5.82,117.8
1220,5.22,1.08,6.14,117.8
1189,5.22,1.08,6.14,117.8
1185,5.22,1.08,6.14,118
1199,5.22,1.08,6.14,118
1135,5.22,0.76,6.14,118
1117,5.22,0.76,6.44,118
1153,5.22,0.76,6.44,118
1183,5.22,0.76,6.44,118
1254,4.9,0.76,6.44,118
1186,4.9,0.62,6.44,118
1169,4.9,0.62,5.82,118
1108,4.9,0.62,5.82,118
1103,4.9,0.62,5.82,118
1126,4.9,0.62,5.82,118
1164,4.9,0.62,5.82,118
1087,4.9,0.62,5.82,118
1090,4.9,0.62,5.82,118
1049,4.9,0.62,5.82,118
1162,5.36,0.62,5.82,118
1181,5.36,0.62,5.82,118
1135,5.36,0.62,5.98,118
1154,5.36,0.62,5.98,118
1099,5.36,0.62,5.98,118.2
1093,5.22,0.62,5.98,118.2
1159,5.22,0.3,5.98,118.2
1035,5.22,0.3,5.68,118.2
1101,5.22,0.3,5.68,118.2
1091,5.22,0.3,5.68,118.2
1060,5.22,0.3,5.68,118.2
1168,5.22,1.22,5.68,118.2
1197,5.22,1.22,5.82,118.2
1235,5.22,1.22,5.82,118.2
1270,5.22,1.22,5.82,118.2
1269,5.06,1.22,5.82,118.2
1261,5.06,0.76,5.82,118.2
1259,5.06,0.76,5.82,118.2
1174,5.06,0.76,5.82,118.2
1184,5.06,0.76,5.82,118.2
1253,5.36,0.76,5.82,118.2
1198,5.36,0.92,5.82,118.2
1254,5.36,0.92,5.82,118.2
1240,5.36,0.92,5.82,118.2
1214,5.36,0.92,5.82,118.2
1193,5.36,0.92,5.82,118.2
1134,5.36,1.08,5.82,118.2
1072,5.36,1.08,5.98,118.2
1148,5.36,1.08,5.98,118.2
1058,5.36,1.08,5.98,118.2
1047,5.22,1.08,5.98,118.2
1169,5.22,0.92,5.98,118.2
1124,5.22,0.92,5.98,118.2
1208,5.22,0.92,5.98,118.2
1214,5.22,0.92,5.98,118.4
1206,5.22,0.92,5.98,118.4
1172,5.22,0.92,5.98,118.4
1177,5.22,0.92,5.98,118.4
1179,5.22,0.92,5.98,118.4
1118,5.22,0.92,5.98,118.4
1144,5.06,0.92,5.98,118.4
1095,5.06,0.76,5.98,118.4
1054,5.06,0.76,5.82,118.4
1144,5.06,0.76,5.82,118.4
1087,5.06,0.76,5.82,118.4
1103,5.52,0.76,5.82,118.4
1113,5.52,1.22,5.82,118.4
1063,5.52,1.22,6.14,118.4
1150,5.52,1.22,6.14,118.4
1140,5.52,1.22,6.14,118.6
1091,5.22,1.22,6.14,118.6
1082,5.22,1.08,6.14,118.6
971,5.22,1.08,5.98,118.6
993,5.22,1.08,5.98,118.6
1056,5.22,1.08,5.98,118.6
1093,5.22,1.08,5.98,118.6
1135,5.22,1.38,5.98,118.6
1163,5.22,1.38,5.98,118.6
1082,5.22,1.38,5.98,118.6
1114,5.22,1.38,5.98,118.6
1126,5.06,1.38,5.98,118.6
1129,5.06,0.3,5.98,118.6
1158,5.06,0.3,6.14,118.6
1114,5.06,0.3,6.14,118.6
1067,5.06,0.3,6.14,118.6
1110,4.9,0.3,6.14,118.6
1047,4.9,0.62,6.14,118.6
1051,4.9,0.62,5.98,118.6
1088,4.9,0.62,5.98,118.6
1073,4.9,0.62,5.98,118.8
1063,4.9,0.62,5.98,118.8
1097,4.9,0.76,5.98,118.8
1109,4.9,0.76,5.82,118.8
1036,4.9,0.76,5.82,118.8
1084,4.9,0.76,5.82,118.6
1074,5.06,0.76,5.82,118.6
1072,5.06,0.92,5.82,118.6
1072,5.06,0.92,6.28,118.6
1089,5.06,0.92,6.28,118.6
1161,5.06,0.92,6.28,118.8
1132,4.9,0.92,6.28,118.8
1135,4.9,0.3,6.28,118.8
1132,4.9,0.3,5.98,118.8
1103,4.9,0.3,5.98,118.8
1112,4.9,0.3,5.98,118.8
1061,4.9,0.3,5.98,118.8
1035,4.9,0.76,5.98,118.8
994,4.9,0.76,5.82,118.8
479,4.9,0.76,5.82,118.8
66,4.9,0.76,5.82,118.8
1,4.9,0.76,5.82,118.8
1,4.9,0.76,5.82,118.8
1,4.9,0.76,5.82,118.8
1,4.9,0.76,5.82,118.8
1,4.9,0.76,5.82,118.8
1,5.36,0.76,5.82,118.8
1,5.36,1.38,5.82,118.8
1,5.36,1.38,6.14,118.8
1,5.36,1.38,6.14,118.8
1,5.36,1.38,6.14,119
1,5.22,1.38,6.14,119
1,5.22,1.08,6.14,119
1,5.22,1.08,5.82,119
1,5.22,1.08,5.82,119
1,5.22,1.08,5.82,119
1,4.9,1.08,5.82,119
1,4.9,0.76,5.82,119
1,4.9,0.76,5.68,119
1,4.9,0.76,5.68,119
1,4.9,0.76,5.68,119.2
1,5.22,0.76,5.68,119.2
1,5.22,1.08,5.68,119.2
25,5.22,1.08,6.14,119.2
2,5.22,1.08,6.14,119.2
59,5.22,1.08,6.14,119.2
80,5.22,1.08,6.14,119.2
78,5.22,1.08,6.14,119.2
110,5.22,1.08,6.14,119.2
139,5.22,1.08,6.14,119.2
176,5.22,1.08,6.14,119
197,5.22,1.08,6.14,119
701,5.22,1.22,6.14,119
1474,5.22,1.22,6.14,119
1926,5.22,1.22,6.14,119
2247,5.22,1.22,6.14,119.2
2422,5.22,1.22,6.14,119.2
2506,5.22,0.76,6.14,119.2
2517,5.22,0.76,5.82,119.2
2550,5.22,0.76,5.82,119.2
2539,5.22,0.76,5.82,119.4
2612,5.06,0.76,5.82,119.4
2559,5.06,0.62,5.82,119.4
2541,5.06,0.62,5.98,119.4
2476,5.06,0.62,5.98,119.4
2429,5.06,0.62,5.98,119.2
2295,5.36,0.62,5.98,119.2
