Seconds,Time,InHR,Interval
7.8,00:07.8,"2.9106	",
28.5,00:28.5,3.0967,20.7
47.8,00:47.8,3.2267,19.3
66.4,01:06.4,3.737,18.6
82.5,01:22.5,3.6197,16.1
99.1,01:39.1,4.5782,16.6
112.2,01:52.2,,13.1
